"tag","freq"
"<U+FFFD>",221772
"<U+0093>",5374
"<U+0094>",5232
"<U+0092>",5069
"<U+0096>",2888
"<U+0097>",1679
"<U+0095>",1132
"<U+200B>",233
"<U+0091>",231
"<U+FEFF>",88
"<U+0080>",83
"<U+25C6>",73
"<U+2605>",51
"<U+272D>",38
"<U+2666>",37
"<U+0082>",32
"<U+2665>",30
"<U+0099>",29
"<U+2660>",24
"<U+2663>",23
"<U+25CF>",21
"<U+2154>",18
"<U+2153>",15
"<U+009C>",12
"<U+200F>",12
"<U+F021>",11
"<U+F02E>",10
"<U+2033>",8
"<U+2606>",8
"<U+03BF>",7
"<U+0089>",6
"<U+F075>",4
"<U+008E>",3
"<U+0098>",3
"<U+0083>",2
"<U+0088>",2
"<U+009E>",2
"<U+202A>",2
"<U+202C>",2
"<U+215B>",2
"<U+21D2>",2
"<U+F02F>",2
"<U+F034>",2
"<U+0084>",1
"<U+009B>",1
"<U+066D>",1
"<U+2015>",1
"<U+F023>",1
"<U+F025>",1
"<U+F02C>",1
"<U+F02D>",1
"<U+F06E>",1
"<U+F078>",1
"<U+FB01>",1
"<U+FFBD>",1
"<U+FFBF>",1
"<U+FFEF>",1
